
> tutor-backend@1.0.0 start
> node index.js

Database connected successfully.
Server is running on http://localhost:3000
Starting to populate 5005 questions
Populating chunk 1	Question 0-50	Timestamp 2025-03-30T12:49:27.630Z
Populating chunk 2	Question 50-100	Timestamp 2025-03-30T12:49:51.369Z
Populating chunk 3	Question 100-150	Timestamp 2025-03-30T12:50:15.007Z
Populating chunk 4	Question 150-200	Timestamp 2025-03-30T12:50:40.236Z
Populating chunk 5	Question 200-250	Timestamp 2025-03-30T12:51:08.519Z
Populating chunk 6	Question 250-300	Timestamp 2025-03-30T12:51:45.303Z
Populating chunk 7	Question 300-350	Timestamp 2025-03-30T12:52:08.772Z
Populating chunk 8	Question 350-400	Timestamp 2025-03-30T12:52:31.476Z
Populating chunk 9	Question 400-450	Timestamp 2025-03-30T12:52:53.304Z
Populating chunk 10	Question 450-500	Timestamp 2025-03-30T12:53:18.051Z
Populating chunk 11	Question 500-550	Timestamp 2025-03-30T12:53:41.114Z
Populating chunk 12	Question 550-600	Timestamp 2025-03-30T12:54:05.931Z
Populating chunk 13	Question 600-650	Timestamp 2025-03-30T12:54:30.650Z
Populating chunk 14	Question 650-700	Timestamp 2025-03-30T13:04:56.770Z
Populating chunk 15	Question 700-750	Timestamp 2025-03-30T13:05:23.541Z
Populating chunk 16	Question 750-800	Timestamp 2025-03-30T13:05:48.088Z
Populating chunk 17	Question 800-850	Timestamp 2025-03-30T13:06:16.398Z
Populating chunk 18	Question 850-900	Timestamp 2025-03-30T13:06:42.208Z
Populating chunk 19	Question 900-950	Timestamp 2025-03-30T13:07:06.888Z
Populating chunk 20	Question 950-1000	Timestamp 2025-03-30T13:07:31.093Z
Populating chunk 21	Question 1000-1050	Timestamp 2025-03-30T13:07:53.353Z
Populating chunk 22	Question 1050-1100	Timestamp 2025-03-30T13:08:16.950Z
Populating chunk 23	Question 1100-1150	Timestamp 2025-03-30T13:08:54.560Z
Populating chunk 24	Question 1150-1200	Timestamp 2025-03-30T13:09:17.041Z
Populating chunk 25	Question 1200-1250	Timestamp 2025-03-30T13:09:39.035Z
Populating chunk 26	Question 1250-1300	Timestamp 2025-03-30T13:10:06.801Z
Populating chunk 27	Question 1300-1350	Timestamp 2025-03-30T13:10:31.810Z
Populating chunk 28	Question 1350-1400	Timestamp 2025-03-30T13:11:01.480Z
Populating chunk 29	Question 1400-1450	Timestamp 2025-03-30T13:11:31.190Z
Populating chunk 30	Question 1450-1500	Timestamp 2025-03-30T13:12:02.442Z
Populating chunk 31	Question 1500-1550	Timestamp 2025-03-30T13:12:26.158Z
Populating chunk 32	Question 1550-1600	Timestamp 2025-03-30T13:12:52.682Z
Populating chunk 33	Question 1600-1650	Timestamp 2025-03-30T13:13:16.052Z
Populating chunk 34	Question 1650-1700	Timestamp 2025-03-30T13:13:41.118Z
Populating chunk 35	Question 1700-1750	Timestamp 2025-03-30T13:14:06.109Z
Populating chunk 36	Question 1750-1800	Timestamp 2025-03-30T13:14:30.890Z
Populating chunk 37	Question 1800-1850	Timestamp 2025-03-30T13:14:54.047Z
Populating chunk 38	Question 1850-1900	Timestamp 2025-03-30T13:15:21.087Z
Populating chunk 39	Question 1900-1950	Timestamp 2025-03-30T13:15:48.500Z
Populating chunk 40	Question 1950-2000	Timestamp 2025-03-30T13:16:16.971Z
Populating chunk 41	Question 2000-2050	Timestamp 2025-03-30T13:16:46.467Z
Populating chunk 42	Question 2050-2100	Timestamp 2025-03-30T13:17:15.852Z
Populating chunk 43	Question 2100-2150	Timestamp 2025-03-30T13:17:37.368Z
Populating chunk 44	Question 2150-2200	Timestamp 2025-03-30T13:18:00.045Z
Populating chunk 45	Question 2200-2250	Timestamp 2025-03-30T13:18:24.987Z
Populating chunk 46	Question 2250-2300	Timestamp 2025-03-30T13:18:49.118Z
Populating chunk 47	Question 2300-2350	Timestamp 2025-03-30T13:19:15.957Z
Populating chunk 48	Question 2350-2400	Timestamp 2025-03-30T13:19:59.003Z
Populating chunk 49	Question 2400-2450	Timestamp 2025-03-30T13:20:39.483Z
Populating chunk 50	Question 2450-2500	Timestamp 2025-03-30T13:21:06.760Z
Populating chunk 51	Question 2500-2550	Timestamp 2025-03-30T13:21:28.774Z
Populating chunk 52	Question 2550-2600	Timestamp 2025-03-30T13:21:50.767Z
Populating chunk 53	Question 2600-2650	Timestamp 2025-03-30T13:22:14.025Z
Populating chunk 54	Question 2650-2700	Timestamp 2025-03-30T13:22:37.780Z
Populating chunk 55	Question 2700-2750	Timestamp 2025-03-30T13:23:00.850Z
Populating chunk 56	Question 2750-2800	Timestamp 2025-03-30T13:23:26.100Z
Populating chunk 57	Question 2800-2850	Timestamp 2025-03-30T13:23:49.243Z
Populating chunk 58	Question 2850-2900	Timestamp 2025-03-30T13:24:09.214Z
Populating chunk 59	Question 2900-2950	Timestamp 2025-03-30T13:24:35.543Z
Populating chunk 60	Question 2950-3000	Timestamp 2025-03-30T13:25:00.834Z
Populating chunk 61	Question 3000-3050	Timestamp 2025-03-30T13:25:25.173Z
Populating chunk 62	Question 3050-3100	Timestamp 2025-03-30T13:25:46.712Z
Populating chunk 63	Question 3100-3150	Timestamp 2025-03-30T13:26:09.580Z
Populating chunk 64	Question 3150-3200	Timestamp 2025-03-30T13:26:32.997Z
Populating chunk 65	Question 3200-3250	Timestamp 2025-03-30T13:27:00.712Z
Populating chunk 66	Question 3250-3300	Timestamp 2025-03-30T13:27:25.515Z
Populating chunk 67	Question 3300-3350	Timestamp 2025-03-30T13:27:52.642Z
Populating chunk 68	Question 3350-3400	Timestamp 2025-03-30T13:28:14.967Z
Populating chunk 69	Question 3400-3450	Timestamp 2025-03-30T13:28:42.704Z
